,Sentence_Index,Token,Pos,Explained_Tag,Tag,iob_Tag,Entity_Type
146,10,wave,NOUN,"noun, singular or mass",NN,O,
147,10,in,ADP,"conjunction, subordinating or preposition",IN,O,
148,10,January,PROPN,"noun, proper singular",NNP,B,DATE
149,10,2022,NUM,cardinal number,CD,I,DATE
150,10,",",PUNCT,"punctuation mark, comma",",",O,
151,10,we,PRON,"pronoun, personal",PRP,O,
152,10,saw,VERB,"verb, past tense",VBD,O,
153,10,a,DET,determiner,DT,O,
154,10,massive,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
155,10,surge,NOUN,"noun, singular or mass",NN,O,
156,10,of,ADP,"conjunction, subordinating or preposition",IN,O,
157,10,COVID-19,NOUN,"noun, singular or mass",NN,O,
158,10,cases,NOUN,"noun, plural",NNS,O,
159,10,.,PUNCT,"punctuation mark, sentence closer",.,O,
160,11,"
",SPACE,whitespace,_SP,O,
161,11,Fortunately,ADV,adverb,RB,O,
162,11,",",PUNCT,"punctuation mark, comma",",",O,
163,11,the,DET,determiner,DT,O,
164,11,risks,NOUN,"noun, plural",NNS,O,
165,11,of,ADP,"conjunction, subordinating or preposition",IN,O,
166,11,hospitalizations,NOUN,"noun, plural",NNS,O,
167,11,and,CCONJ,"conjunction, coordinating",CC,O,
168,11,deaths,NOUN,"noun, plural",NNS,O,
169,11,were,AUX,"verb, past tense",VBD,O,
170,11,lower,ADJ,"adjective, comparative",JJR,O,
171,11,.,PUNCT,"punctuation mark, sentence closer",.,O,
172,12,"
",SPACE,whitespace,_SP,O,
173,13,But,CCONJ,"conjunction, coordinating",CC,O,
174,13,that,PRON,determiner,DT,O,
175,13,should,AUX,"verb, modal auxiliary",MD,O,
176,13,not,PART,adverb,RB,O,
177,13,cause,VERB,"verb, base form",VB,O,
178,13,us,PRON,"pronoun, personal",PRP,O,
179,13,to,PART,"infinitival ""to""",TO,O,
180,13,hesitate,VERB,"verb, base form",VB,O,
181,13,from,ADP,"conjunction, subordinating or preposition",IN,O,
182,13,getting,VERB,"verb, gerund or present participle",VBG,O,
183,13,COVID-19,NOUN,"noun, singular or mass",NN,O,
184,13,vaccinations,NOUN,"noun, plural",NNS,O,
185,13,",",PUNCT,"punctuation mark, comma",",",O,
186,13,including,VERB,"verb, gerund or present participle",VBG,O,
187,13,the,DET,determiner,DT,O,
188,13,booster,NOUN,"noun, singular or mass",NN,O,
189,13,doses,NOUN,"noun, plural",NNS,O,
190,13,",",PUNCT,"punctuation mark, comma",",",O,
191,13,as,SCONJ,"conjunction, subordinating or preposition",IN,O,
192,13,required,VERB,"verb, past participle",VBN,O,
193,13,.,PUNCT,"punctuation mark, sentence closer",.,O,
194,14,"
",SPACE,whitespace,_SP,O,
195,14,The,DET,determiner,DT,O,
196,14,pandemic,NOUN,"noun, singular or mass",NN,O,
197,14,is,AUX,"verb, 3rd person singular present",VBZ,O,
198,14,not,PART,adverb,RB,O,
199,14,over,ADV,adverb,RB,O,
200,14,yet,ADV,adverb,RB,O,
201,14,.,PUNCT,"punctuation mark, sentence closer",.,O,
202,15,"
",SPACE,whitespace,_SP,O,
203,15,We,PRON,"pronoun, personal",PRP,O,
204,15,still,ADV,adverb,RB,O,
205,15,need,VERB,"verb, non-3rd person singular present",VBP,O,
206,15,to,PART,"infinitival ""to""",TO,O,
207,15,get,VERB,"verb, base form",VB,O,
208,15,at,ADP,"conjunction, subordinating or preposition",IN,B,PERCENT
209,15,least,ADV,"adverb, superlative",RBS,I,PERCENT
210,15,70,NUM,cardinal number,CD,I,PERCENT
211,15,%,NOUN,"noun, singular or mass",NN,I,PERCENT
212,15,of,ADP,"conjunction, subordinating or preposition",IN,O,
213,15,the,DET,determiner,DT,O,
214,15,total,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
215,15,population,NOUN,"noun, singular or mass",NN,O,
216,15,vaccinated,VERB,"verb, past tense",VBD,O,
217,15,",",PUNCT,"punctuation mark, comma",",",O,
218,15,with,ADP,"conjunction, subordinating or preposition",IN,O,
219,15,a,DET,determiner,DT,O,
220,15,greater,ADJ,"adjective, comparative",JJR,O,
221,15,focus,NOUN,"noun, singular or mass",NN,O,
222,15,on,ADP,"conjunction, subordinating or preposition",IN,O,
223,15,vaccinating,VERB,"verb, gerund or present participle",VBG,O,
224,15,the,DET,determiner,DT,O,
225,15,2.4,NUM,cardinal number,CD,B,CARDINAL
226,15,million,NUM,cardinal number,CD,I,CARDINAL
227,15,older,ADJ,"adjective, comparative",JJR,O,
228,15,adults,NOUN,"noun, plural",NNS,O,
229,15,who,PRON,"wh-pronoun, personal",WP,O,
230,15,have,AUX,"verb, non-3rd person singular present",VBP,O,
231,15,not,PART,adverb,RB,O,
232,15,received,VERB,"verb, past participle",VBN,O,
233,15,even,ADV,adverb,RB,O,
234,15,a,DET,determiner,DT,O,
235,15,single,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
236,15,dose,NOUN,"noun, singular or mass",NN,O,
237,15,.,PUNCT,"punctuation mark, sentence closer",.,O,
238,16,"
",SPACE,whitespace,_SP,O,
239,16,In,ADP,"conjunction, subordinating or preposition",IN,O,
240,16,addition,NOUN,"noun, singular or mass",NN,O,
241,16,",",PUNCT,"punctuation mark, comma",",",O,
242,16,we,PRON,"pronoun, personal",PRP,O,
243,16,still,ADV,adverb,RB,O,
244,16,need,VERB,"verb, non-3rd person singular present",VBP,O,
245,16,to,PART,"infinitival ""to""",TO,O,
246,16,continue,VERB,"verb, base form",VB,O,
247,16,masking,VERB,"verb, gerund or present participle",VBG,O,
248,16,",",PUNCT,"punctuation mark, comma",",",O,
249,16,physical,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
250,16,distancing,NOUN,"noun, singular or mass",NN,O,
251,16,",",PUNCT,"punctuation mark, comma",",",O,
252,16,ensuring,VERB,"verb, gerund or present participle",VBG,O,
253,16,proper,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
254,16,ventilation,NOUN,"noun, singular or mass",NN,O,
255,16,",",PUNCT,"punctuation mark, comma",",",O,
256,16,and,CCONJ,"conjunction, coordinating",CC,O,
257,16,hand,NOUN,"noun, singular or mass",NN,O,
258,16,hygiene,NOUN,"noun, singular or mass",NN,O,
259,16,.,PUNCT,"punctuation mark, sentence closer",.,O,
260,17,"
",SPACE,whitespace,_SP,O,
261,17,If,SCONJ,"conjunction, subordinating or preposition",IN,O,
262,17,we,PRON,"pronoun, personal",PRP,O,
263,17,continue,VERB,"verb, non-3rd person singular present",VBP,O,
264,17,to,PART,"infinitival ""to""",TO,O,
265,17,do,VERB,"verb, base form",VB,O,
266,17,that,PRON,determiner,DT,O,
267,17,",",PUNCT,"punctuation mark, comma",",",O,
268,17,we,PRON,"pronoun, personal",PRP,O,
269,17,will,AUX,"verb, modal auxiliary",MD,O,
270,17,be,AUX,"verb, base form",VB,O,
271,17,ready,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
272,17,for,ADP,"conjunction, subordinating or preposition",IN,O,
273,17,the,DET,determiner,DT,O,
274,17,next,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
275,17,COVID-19,NOUN,"noun, singular or mass",NN,O,
276,17,wave,NOUN,"noun, singular or mass",NN,O,
277,17,.,PUNCT,"punctuation mark, sentence closer",.,O,
278,18,"
",SPACE,whitespace,_SP,O,
279,19,But,CCONJ,"conjunction, coordinating",CC,O,
280,19,",",PUNCT,"punctuation mark, comma",",",O,
281,19,if,SCONJ,"conjunction, subordinating or preposition",IN,O,
282,19,we,PRON,"pronoun, personal",PRP,O,
283,19,stop,VERB,"verb, non-3rd person singular present",VBP,O,
284,19,doing,VERB,"verb, gerund or present participle",VBG,O,
285,19,that,PRON,determiner,DT,O,
286,19,too,ADV,adverb,RB,O,
287,19,soon,ADV,adverb,RB,O,
288,19,",",PUNCT,"punctuation mark, comma",",",O,
289,19,we,PRON,"pronoun, personal",PRP,O,
290,19,will,AUX,"verb, modal auxiliary",MD,O,
291,19,be,AUX,"verb, base form",VB,O,
292,19,wasting,VERB,"verb, gerund or present participle",VBG,O,
293,19,the,DET,determiner,DT,O,
294,19,lessons,NOUN,"noun, plural",NNS,O,
295,19,we,PRON,"pronoun, personal",PRP,O,
296,19,have,AUX,"verb, non-3rd person singular present",VBP,O,
297,19,learned,VERB,"verb, past participle",VBN,O,
298,19,from,ADP,"conjunction, subordinating or preposition",IN,O,
299,19,the,DET,determiner,DT,B,DATE
300,19,two,NUM,cardinal number,CD,I,DATE
301,19,years,NOUN,"noun, plural",NNS,I,DATE
302,19,of,ADP,"conjunction, subordinating or preposition",IN,O,
303,19,living,VERB,"verb, gerund or present participle",VBG,O,
304,19,with,ADP,"conjunction, subordinating or preposition",IN,O,
305,19,the,DET,determiner,DT,O,
306,19,pandemic,NOUN,"noun, singular or mass",NN,O,
307,19,.,PUNCT,"punctuation mark, sentence closer",.,O,
308,20,"
",SPACE,whitespace,_SP,O,
309,20,Using,VERB,"verb, gerund or present participle",VBG,O,
310,20,the,DET,determiner,DT,O,
311,20,tools,NOUN,"noun, plural",NNS,O,
312,20,we,PRON,"pronoun, personal",PRP,O,
313,20,have,VERB,"verb, non-3rd person singular present",VBP,O,
314,20,and,CCONJ,"conjunction, coordinating",CC,O,
315,20,the,DET,determiner,DT,O,
316,20,lessons,NOUN,"noun, plural",NNS,O,
317,20,we,PRON,"pronoun, personal",PRP,O,
318,20,learned,VERB,"verb, past tense",VBD,O,
319,20,",",PUNCT,"punctuation mark, comma",",",O,
320,20,the,DET,determiner,DT,O,
321,20,Philippines,PROPN,"noun, proper plural",NNPS,B,GPE
322,20,can,AUX,"verb, modal auxiliary",MD,O,
323,20,transition,VERB,"verb, base form",VB,O,
324,20,to,ADP,"conjunction, subordinating or preposition",IN,O,
325,20,sustained,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
326,20,management,NOUN,"noun, singular or mass",NN,O,
327,20,of,ADP,"conjunction, subordinating or preposition",IN,O,
328,20,COVID-19,PROPN,"noun, proper singular",NNP,B,ORG
329,20,.,PUNCT,"punctuation mark, sentence closer",.,O,
330,21,"
",SPACE,whitespace,_SP,O,
331,21,So,ADV,adverb,RB,O,
332,21,let,VERB,"verb, base form",VB,O,
333,21,us,PRON,"pronoun, personal",PRP,O,
334,21,do,VERB,"verb, base form",VB,O,
335,21,that,PRON,determiner,DT,O,
336,21,collectively,ADV,adverb,RB,O,
337,21,.,PUNCT,"punctuation mark, sentence closer",.,O,
338,22,"
",SPACE,whitespace,_SP,O,
339,22,Sustained,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
340,22,management,NOUN,"noun, singular or mass",NN,O,
341,22,of,ADP,"conjunction, subordinating or preposition",IN,O,
342,22,COVID-19,NOUN,"noun, singular or mass",NN,O,
343,22,and,CCONJ,"conjunction, coordinating",CC,O,
344,22,protecting,VERB,"verb, gerund or present participle",VBG,O,
345,22,the,DET,determiner,DT,O,
346,22,most,ADV,"adverb, superlative",RBS,O,
347,22,vulnerable,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
348,22,   ,SPACE,whitespace,_SP,O,
349,22,https://www.who.int/philippines/news/detail/11-03-2022-opinion-is-the-pandemic-ending-soon,PROPN,"noun, proper singular",NNP,O,
350,22, ,SPACE,whitespace,_SP,O,
351,22,1/3,NUM,cardinal number,CD,B,CARDINAL
352,22, ,SPACE,whitespace,_SP,O,
353,22,3/15/22,NUM,cardinal number,CD,B,PRODUCT
354,22,",",PUNCT,"punctuation mark, comma",",",O,
355,22,10:32,NUM,cardinal number,CD,B,TIME
356,22,AM,NOUN,"noun, singular or mass",NN,I,TIME
357,22, ,SPACE,whitespace,_SP,O,
358,22,Is,AUX,"verb, 3rd person singular present",VBZ,O,
359,22,the,DET,determiner,DT,O,
360,22,pandemic,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
361,22,ending,NOUN,"noun, singular or mass",NN,O,
362,22,soon,ADV,adverb,RB,O,
363,22,?,PUNCT,"punctuation mark, sentence closer",.,O,
364,23,"
",SPACE,whitespace,_SP,O,
365,23,The,DET,determiner,DT,O,
366,23,Omicron,PROPN,"noun, proper singular",NNP,B,ORG
367,23,variant,NOUN,"noun, singular or mass",NN,O,
368,23,is,AUX,"verb, 3rd person singular present",VBZ,O,
369,23,still,ADV,adverb,RB,O,
370,23,around,ADV,adverb,RB,O,
371,23,",",PUNCT,"punctuation mark, comma",",",O,
372,23,and,CCONJ,"conjunction, coordinating",CC,O,
373,23,it,PRON,"pronoun, personal",PRP,O,
374,23,can,AUX,"verb, modal auxiliary",MD,O,
375,23,cause,VERB,"verb, base form",VB,O,
376,23,severe,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
377,23,illness,NOUN,"noun, singular or mass",NN,O,
378,23,and,CCONJ,"conjunction, coordinating",CC,O,
379,23,even,ADV,adverb,RB,O,
380,23,death,NOUN,"noun, singular or mass",NN,O,
381,23,",",PUNCT,"punctuation mark, comma",",",O,
382,23,especially,ADV,adverb,RB,O,
383,23,among,ADP,"conjunction, subordinating or preposition",IN,O,
384,23,more,ADV,"adverb, comparative",RBR,O,
385,23,vulnerable,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
386,23,and,CCONJ,"conjunction, coordinating",CC,O,
387,23,higher,ADJ,"adjective, comparative",JJR,O,
388,23,risk,NOUN,"noun, singular or mass",NN,O,
389,23,groups,NOUN,"noun, plural",NNS,O,
390,23,.,PUNCT,"punctuation mark, sentence closer",.,O,
391,24,"
",SPACE,whitespace,_SP,O,
392,24,Also,ADV,adverb,RB,O,
393,24,",",PUNCT,"punctuation mark, comma",",",O,
394,24,as,SCONJ,"conjunction, subordinating or preposition",IN,O,
395,24,Director,PROPN,"noun, proper singular",NNP,O,
396,24,-,PUNCT,"punctuation mark, hyphen",HYPH,O,
397,24,General,PROPN,"noun, proper singular",NNP,O,
398,24,of,ADP,"conjunction, subordinating or preposition",IN,O,
399,24,the,DET,determiner,DT,B,ORG
400,24,World,PROPN,"noun, proper singular",NNP,I,ORG
401,24,Health,PROPN,"noun, proper singular",NNP,I,ORG
402,24,Organization,PROPN,"noun, proper singular",NNP,I,ORG
403,24,",",PUNCT,"punctuation mark, comma",",",O,
404,24,Tedros,PROPN,"noun, proper singular",NNP,B,ORG
405,24,Ghebreyesus,PROPN,"noun, proper singular",NNP,I,ORG
406,24,",",PUNCT,"punctuation mark, comma",",",O,
407,24,has,AUX,"verb, 3rd person singular present",VBZ,O,
408,24,said,VERB,"verb, past tense",VBD,O,
409,24,:,PUNCT,"punctuation mark, colon or ellipsis",:,O,
410,24,“,PUNCT,opening quotation mark,``,O,
411,24,It,PRON,"pronoun, personal",PRP,O,
412,24,is,AUX,"verb, 3rd person singular present",VBZ,O,
413,24,dangerous,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
414,24,to,PART,"infinitival ""to""",TO,O,
415,24,assume,VERB,"verb, base form",VB,O,
416,24,that,SCONJ,"conjunction, subordinating or preposition",IN,O,
417,24,the,DET,determiner,DT,O,
418,24,Omicron,PROPN,"noun, proper singular",NNP,B,ORG
419,24,will,AUX,"verb, modal auxiliary",MD,O,
420,24,be,AUX,"verb, base form",VB,O,
421,24,the,DET,determiner,DT,O,
422,24,last,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
423,24,variant,NOUN,"noun, singular or mass",NN,O,
424,24,or,CCONJ,"conjunction, coordinating",CC,O,
425,24,that,SCONJ,"conjunction, subordinating or preposition",IN,O,
426,24,we,PRON,"pronoun, personal",PRP,O,
427,24,are,AUX,"verb, non-3rd person singular present",VBP,O,
428,24,in,ADP,"conjunction, subordinating or preposition",IN,O,
429,24,the,DET,determiner,DT,O,
430,24,endgame,NOUN,"noun, singular or mass",NN,O,
431,24,.,PUNCT,"punctuation mark, sentence closer",.,O,
432,24,”,PUNCT,closing quotation mark,'',O,
433,25, ,SPACE,whitespace,_SP,O,
434,25,The,DET,determiner,DT,O,
435,25,COVID-19,NOUN,"noun, singular or mass",NN,O,
436,25,virus,NOUN,"noun, singular or mass",NN,O,
437,25,is,AUX,"verb, 3rd person singular present",VBZ,O,
438,25,an,DET,determiner,DT,O,
439,25,unstable,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
440,25,virus,NOUN,"noun, singular or mass",NN,O,
441,25,that,PRON,wh-determiner,WDT,O,
442,25,changes,VERB,"verb, 3rd person singular present",VBZ,O,
443,25,rapidly,ADV,adverb,RB,O,
444,25,and,CCONJ,"conjunction, coordinating",CC,O,
445,25,limits,VERB,"verb, 3rd person singular present",VBZ,O,
446,25,our,PRON,"pronoun, possessive",PRP$,O,
447,25,ability,NOUN,"noun, singular or mass",NN,O,
448,25,to,PART,"infinitival ""to""",TO,O,
449,25,predict,VERB,"verb, base form",VB,O,
450,25,what,PRON,"wh-pronoun, personal",WP,O,
451,25,will,AUX,"verb, modal auxiliary",MD,O,
452,25,become,VERB,"verb, base form",VB,O,
453,25,of,ADP,"conjunction, subordinating or preposition",IN,O,
454,25,it,PRON,"pronoun, personal",PRP,O,
455,25,next,ADV,adverb,RB,O,
456,25,.,PUNCT,"punctuation mark, sentence closer",.,O,
457,26,"
",SPACE,whitespace,_SP,O,
458,26,Therefore,ADV,adverb,RB,O,
459,26,",",PUNCT,"punctuation mark, comma",",",O,
460,26,countries,NOUN,"noun, plural",NNS,O,
461,26,",",PUNCT,"punctuation mark, comma",",",O,
462,26,communities,NOUN,"noun, plural",NNS,O,
463,26,",",PUNCT,"punctuation mark, comma",",",O,
464,26,and,CCONJ,"conjunction, coordinating",CC,O,
465,26,individuals,NOUN,"noun, plural",NNS,O,
466,26,should,AUX,"verb, modal auxiliary",MD,O,
467,26,not,PART,adverb,RB,O,
468,26,“,PUNCT,opening quotation mark,``,O,
469,26,give,VERB,"verb, base form",VB,O,
470,26,up,ADP,"adverb, particle",RP,O,
471,26,”,PUNCT,closing quotation mark,'',O,
472,26,or,CCONJ,"conjunction, coordinating",CC,O,
473,26,“,PUNCT,opening quotation mark,``,O,
474,26,neglect,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
475,26,”,PUNCT,closing quotation mark,'',O,
476,26,precautions,NOUN,"noun, plural",NNS,O,
477,26,at,ADP,"conjunction, subordinating or preposition",IN,O,
478,26,this,DET,determiner,DT,O,
479,26,crucial,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
480,26,juncture,NOUN,"noun, singular or mass",NN,O,
481,26,of,ADP,"conjunction, subordinating or preposition",IN,O,
482,26,the,DET,determiner,DT,O,
483,26,pandemic,NOUN,"noun, singular or mass",NN,O,
484,26,.,PUNCT,"punctuation mark, sentence closer",.,O,
485,27,"
",SPACE,whitespace,_SP,O,
486,27,Living,VERB,"verb, gerund or present participle",VBG,O,
487,27,with,ADP,"conjunction, subordinating or preposition",IN,O,
488,27,COVID-19,NOUN,"noun, singular or mass",NN,O,
489,27,is,AUX,"verb, 3rd person singular present",VBZ,O,
490,27,far,ADV,adverb,RB,O,
491,27,from,ADP,"conjunction, subordinating or preposition",IN,O,
492,27,passive,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
493,27,helplessness,NOUN,"noun, singular or mass",NN,O,
494,27,.,PUNCT,"punctuation mark, sentence closer",.,O,
495,28,"
",SPACE,whitespace,_SP,O,
496,28,Instead,ADV,adverb,RB,O,
497,28,",",PUNCT,"punctuation mark, comma",",",O,
498,28,it,PRON,"pronoun, personal",PRP,O,
499,28,is,AUX,"verb, 3rd person singular present",VBZ,O,
500,28,about,ADP,"conjunction, subordinating or preposition",IN,O,
501,28,staying,VERB,"verb, gerund or present participle",VBG,O,
