Token_ID,Token
631,risk
632,of
633,severe
634,infections
635,and
636,death
637,.
638,They
639,may
640,also
641,serve
642,as
643,reservoirs
644,of
645,intense
646,transmission
647,and
648,overwhelm
649,healthcare
650,capacities
651,when
652,the
653,next
654,wave
655,strikes
656,.
657,In
658,addition
659,","
660,immunity
661,gained
662,from
663,vaccinations
664,and
665,natural
666,infection
667,may
668,wane
669,over
670,time
671,","
672,making
673,us
674,susceptible
675,again
676,.
677,To
678,date
679,","
680,the
681,country
682,has
683,vaccinated
684,over
685,63
686,million
687,Filipinos
688,.
689,This
690,is
691,a
692,considerable
693,feat
694,.
695,The
696,credit
697,goes
698,to
699,the
700,National
701,Vaccination
702,Operations
703,Center
704,","
705,the
706,local
707,government
708,units
709,","
710,and
711,health
712,workers
713,and
714,volunteers
715,implementing
716,vaccination
717,drives
718,.
719,And
720,yet
721,","
722,challenges
723,remain
724,","
725,with
726,around
727,2.4
728,million
729,senior
730,citizens
731,not
732,receiving
733,a
734,single
735,dose
736,of
737,COVID-19
738,vaccines
739,.
740,Vaccinating
741,the
742,elderly
743,must
744,be
745,an
746,absolute
747,priority
748,as
749,they
750,are
751,at
752,high
753,risk
754,of
755,severe
756,disease
757,and
758,death
759,from
760,COVID-19
761,.
762,Other
763,high-risk
764,groups
765,include
766,healthcare
767,workers
768,","
769,other
770,essential
771,frontline
772,workers
773,","
774,immunocompromised
775,individuals
776,","
777,and
778,people
779,with
780,comorbidities
781,.
782,Until
783,every
784,priority
785,group
786,is
787,protected
788,","
789,no
790,community
791,is
792,safe
793,.
794,We
795,need
796,more
797,community-based
798,vaccinations
799,at
800,the
801,barangay
802,level
803,to
804,reach
805,the
806,unvaccinated
807,.
808,These
809,have
810,to
811,include
812,house-to-house
813,vaccinations
814,or
815,close-to-home
816,vaccination
817,drives
818,.
819,The
820,transition
821,from
822,acute
823,pandemic
824,response
825,to
826,sustained
827,management
828,of
829,COVID-19
830,will
831,depend
832,upon
833,how
834,the
835,virus
836,evolves
837,and
838,a
839,combination
840,of
841,vaccination
842,","
843,public
844,health
845,and
846,social
847,measures
848,and
849,other
850,factors
851,","
852,including
853,the
854,https
855,:
856,//www.who.int/philippines/news/detail/11-03-2022-opinion-is-the-pandemic-ending-soon
857,2/3
858,3/15/22
859,","
860,10:32
861,AM
862,Is
863,the
864,pandemic
865,ending
866,soon
867,?
868,behavior
869,of
870,individuals
871,.
872,Filipinos
873,have
874,high
875,compliance
876,to
877,mask-wearing
878,","
879,and
880,we
881,must
882,keep
883,this
884,habit
885,to
886,prevent
887,virus
888,transmission
889,and
890,infection
891,among
892,the
893,most
894,vulnerable
895,.
896,Besides
897,","
898,mask-wearing
899,also
900,protects
901,us
902,from
903,other
904,infectious
905,diseases
906,(
907,e.g.
908,","
909,influenza
910,","
911,tuberculosis
912,)
913,and
914,air
915,pollutants
916,.
917,Let
918,us
919,continue
920,to
921,work
922,on
923,the
924,proactive
925,surveillance
926,of
927,COVID-19
928,variants
929,and
930,other
931,emerging
932,diseases
933,.
934,Contact
935,tracing
936,and
937,monitoring
938,of
939,confirmed
940,cases
941,among
942,the
943,vulnerable
944,groups
945,must
946,continue
947,.
948,And
949,there
950,must
951,be
952,timely
953,advice
954,on
955,how
956,people
957,can
958,continue
959,protecting
960,themselves
961,","
962,their
963,loved
964,ones
965,","
966,and
967,their
968,communities
969,.
970,Recovering
971,from
972,COVID-19
973,and
974,preparing
975,for
976,the
977,next
978,pandemic
979,It
980,is
981,never
982,too
983,early
984,to
985,prepare
986,for
987,the
988,next
989,pandemic
990,","
991,as
992,sadly
993,","
994,COVID-19
995,will
996,not
997,be
998,our
999,last
1000,.
1001,As
1002,we
1003,recover
1004,from
1005,this
1006,crisis
1007,","
1008,we
1009,should
1010,build
1011,systems
1012,to
1013,detect
1014,and
1015,respond
1016,to
1017,future
1018,public
1019,health
1020,emergencies
1021,.
1022,They
1023,have
1024,to
1025,be
1026,collaborative
1027,","
1028,multi-sectoral
1029,","
1030,and
1031,inclusive
1032,.
1033,The
1034,solution
1035,is
1036,three-fold
1037,:
1038,strengthening
1039,health
1040,systems
1041,’
1042,resilience
1043,","
1044,bringing
1045,health
1046,services
1047,closer
1048,to
1049,the
1050,people
1051,through
1052,Universal
1053,Health
1054,Care
1055,(
1056,UHC
1057,)
1058,","
1059,and
1060,investing
1061,in
1062,pandemic
1063,preparedness
1064,and
1065,response
1066,.
1067,Saving
1068,lives
1069,starts
1070,with
1071,investing
1072,in
1073,health
1074,and
1075,health
1076,systems
1077,.
1078,The
1079,Philippines
1080,must
1081,invest
1082,in
1083,health
1084,workers
1085,by
1086,building
1087,their
1088,capacity
1089,and
1090,supporting
1091,their
1092,well-being
1093,.
1094,The
1095,country
1096,should
1097,also
1098,invest
1099,more
1100,in
1101,empowering
1102,individuals
1103,for
1104,self-care
1105,and
1106,healthier
1107,lifestyles
1108,to
1109,reduce
1110,the
1111,risk
1112,of
1113,diseases
1114,.
1115,By
1116,doing
1117,that
1118,","
1119,we
1120,would
1121,collectively
1122,build
1123,resilient
1124,health
1125,and
1126,community
1127,systems
1128,that
1129,are
1130,not
1131,easily
1132,overwhelmed
1133,by
1134,health
1135,emergencies
1136,.
1137,The
1138,government
1139,needs
1140,to
1141,continue
1142,to
1143,use
1144,COVID-19
1145,as
1146,an
1147,opportunity
1148,to
1149,roll
1150,out
1151,UHC
1152,.
1153,Through
1154,UHC
1155,","
1156,it
1157,is
1158,possible
1159,to
1160,promote
1161,health
1162,and
1163,prevent
1164,disease
1165,at
1166,the
1167,primary
1168,healthcare
1169,level
1170,.
1171,UHC
1172,is
1173,one
1174,of
1175,the
1176,most
1177,sustainable
1178,ways
1179,to
1180,serve
1181,the
1182,vulnerable
1183,and
1184,the
1185,wider
1186,community
1187,’
1188,s
1189,needs
1190,.
1191,To
1192,detect
1193,and
1194,respond
1195,to
1196,outbreaks
1197,","
1198,including
1199,pandemics
1200,","
1201,we
1202,need
1203,to
1204,invest
1205,in
1206,better
1207,tools
1208,for
1209,health
1210,surveillance
1211,.
1212,The
1213,WHO
1214,has
1215,a
1216,“
1217,Hub
1218,for
1219,Pandemic
1220,and
1221,Epidemic
1222,Intelligence
1223,”
1224,.
1225,This
1226,hub
1227,can
1228,support
1229,health
1230,authorities
1231,worldwide
1232,with
1233,data
1234,","
1235,analytics
1236,","
1237,and
1238,expertise
1239,in
1240,surveillance
1241,.
1242,We
1243,can
1244,minimize
1245,the
1246,impact
1247,of
1248,COVID-19
1249,this
1250,year
1251,with
1252,what
1253,we
1254,know
1255,and
1256,the
1257,tools
1258,we
1259,have
1260,.
1261,But
1262,that
1263,will
1264,depend
1265,on
1266,how
1267,long
1268,transmission
1269,continues
1270,and
1271,how
1272,the
1273,virus
1274,evolves
1275,.
1276,That
1277,will
1278,also
1279,depend
1280,on
1281,how
1282,quickly
1283,and
1284,effectively
1285,we
1286,prioritize
1287,protecting
1288,the
1289,most
1290,vulnerable
1291,.
1292,We
1293,need
1294,to
1295,do
1296,these
1297,not
1298,just
1299,in
1300,the
1301,Philippines
1302,but
1303,all
1304,over
1305,the
1306,world
1307,.
1308,Let
1309,us
1310,continue
1311,to
1312,use
1313,the
1314,lessons
1315,from
1316,COVID-19
1317,to
1318,build
1319,back
1320,better
1321,.
1322,Dr
1323,Rajendra
1324,Yadav
1325,is
1326,the
1327,Acting
1328,WHO
1329,Representative
1330,to
1331,the
1332,Philippines
1333,.
1334,Dr
1335,Sangjun
1336,Moon
1337,is
1338,the
1339,Incident
1340,Manager
1341,for
1342,COVID-
1343,19
1344,Response
1345,at
1346,WHO
1347,Philippines
1348,.
1349,https
1350,:
1351,//www.who.int/philippines/news/detail/11-03-2022-opinion-is-the-pandemic-ending-soon
1352,3/3
